id,code,fullName,categoryName,name,unit,orderTemplate,basePrice,Cost,modifiedDate,whole,whole.p2,Nếp 101,Chú Đức,whole.p10,Nếp 2,whole.p5,Cô Bắc nếp chùm,basecost,utdao,test,retail.50,wholesale.price
3065552,gn-504-m-l1,504 - Mới (lẻ 1 kg),Gạo nở - nguyên liệu,504,lẻ 1 kg,gạo tròn mới,"18,000",15535.72,2024-03-20 16:53:51,"16,700","16,900",,,"17,700",,"17,200",,"15,700","16,500",,"17,000",
3065553,gn-504-c-l1,504 - Cũ (lẻ 1 kg),Gạo nở - nguyên liệu,504,lẻ 1 kg,Gạo ấn Swarna cũ 1 năm 5% tấm,"20,000",16802.92,2024-03-20 09:54:10,"18,300","18,500",,,"19,300",,"18,800",,"17,300","18,100",,"18,000",
3749574,gd-5451-m-l1,5451 - Mới (lẻ 1 kg),Gạo dẻo - gia đình,5451,lẻ 1 kg,5451 mới đông xuân 24,"20,000",15600,2024-03-20 16:42:09,"16,600","16,800",,,"17,600",,"17,100",,"15,600","16,400",,"18,500",
4106421,k-bdg-50-d-l1,Bao gạo - 50 kg - dày (lẻ 1 bao),Các loại khác,Bao gạo,lẻ 1 bao,,"3,000",0,2024-03-04 15:22:22,,"3,000",,,,,,,,,,,
19828367,k-bdg-5-m-l1,Bao gạo - 5Kg - mỏng (lẻ 1 bao),Các loại khác,Bao gạo,lẻ 1 bao,,"1,000",620,2024-03-04 15:22:22,,,,,,,,,,,,,
19828368,k-bdg-5-m-c100,Bao gạo - 5Kg - mỏng (cọc 100 cái),Các loại khác,Bao gạo,cọc 100 cái,,"100,000",62000,2024-03-04 15:22:22,,,,,,,,,,,,,
19828369,k-bdg-10-m-l1,Bao gạo - 10 kg - mỏng (lẻ 1 bao),Các loại khác,Bao gạo,lẻ 1 bao,,"1,000",620,2024-03-04 15:22:22,,,,,,,,,,,,,
19828370,k-bdg-10-m-c100,Bao gạo - 10 kg - mỏng (cọc 100 cái),Các loại khác,Bao gạo,cọc 100 cái,,"100,000",62000,2024-03-04 15:22:22,,,,,,,,,,,,,
19559863,k-cam-t-k5,Cám gạo (1 kg),Các loại khác,Cám gạo,1 kg,,"50,000",0,2024-03-04 15:22:22,,,,,,,,,,,,,
3749598,k-cam-t-l1,Cám gạo (bịch 200g),Các loại khác,Cám gạo,bịch 200g,,"10,000",0,2024-03-04 15:22:21,"10,000","10,000",,,,,,,,,,,
3299734,gn-42-l-l1,Gạo Ấn Swarna (lẻ 1 kg),Gạo nở - nguyên liệu,Gạo Ấn Swarna,lẻ 1 kg,Gạo trắng ấn Swarna lở 9 tháng,"20,000",16200,2024-03-20 09:53:42,"17,300","17,500",,,"18,300",,"17,800",,"16,300","17,100",,,
3749606,lgl-hr-m-l1,Gạo Huyết Rồng (lẻ 1 kg),Lúa - Gạo Lứt,Gạo Huyết Rồng,lẻ 1 kg,Gạo huyết rồng mới,"22,000",17557.25,2024-03-20 16:14:13,"18,600",,,"19,600","19,600",,,,"17,600","18,400",,"30,000",
